web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1691166467-1,27/03/2023,27/03/2023,30/03/2023,571,403,Hébergement Double Sud,,Madame Vacances Hôtel Ibiza,Les Deux Alpes,,13
1691166467-2,27/03/2023,27/03/2023,30/03/2023,428,366,Chambre Lits Jumeaux,,Langley Hôtel Le Petit Prince,L'Alpe-d'Huez,,13
1691166467-3,27/03/2023,27/03/2023,30/03/2023,444,444,Chambre Double ou Lits Jumeaux,,Hotel Les Flocons,Les Deux Alpes,,13
1691166467-4,27/03/2023,27/03/2023,30/03/2023,950,950,Chambre Double - Club,,Hôtel Daria-I Nor by Les Etincelles,L'Alpe-d'Huez,,13
1691166467-5,27/03/2023,27/03/2023,30/03/2023,350,350,Chambre Double Standard,,Hotel Le Beau Site,Auris,,13
1691166467-6,27/03/2023,27/03/2023,30/03/2023,387,387,Chambre Double Standard,,Hotel Les Lutins,Les Deux Alpes,,13
1691166467-7,27/03/2023,27/03/2023,30/03/2023,302,302,Chambre Double,,Hotel Le Cairn,Les Deux Alpes,,13
1691166467-8,27/03/2023,27/03/2023,30/03/2023,352,352,Chambre Double ou Lits Jumeaux Standard,,HOTEL TURAN,Les Deux Alpes,,13
1691166467-9,27/03/2023,27/03/2023,30/03/2023,298,298,Chambre Double ou Lits Jumeaux,,The People - Les 2 Alpes,Les Deux Alpes,,13
1691166467-10,27/03/2023,27/03/2023,30/03/2023,686,619,Chambre Double ou Lits Jumeaux Classique,,Hôtel Grandes Rousses,L'Alpe-d'Huez,,13
1691166467-11,27/03/2023,27/03/2023,30/03/2023,378,302,Chambre Lits Jumeaux Standard,,TERRESENS - HOTEL ESCAPADE,L'Alpe-d'Huez,,13
1691166467-26,27/03/2023,27/03/2023,30/03/2023,571,403,Hébergement Double Sud,,Madame Vacances Hôtel Ibiza,Les Deux Alpes,,13
1691166467-27,27/03/2023,27/03/2023,30/03/2023,428,366,Chambre Lits Jumeaux,,Langley Hôtel Le Petit Prince,L'Alpe-d'Huez,,13
1691166467-28,27/03/2023,27/03/2023,30/03/2023,444,444,Chambre Double ou Lits Jumeaux,,Hotel Les Flocons,Les Deux Alpes,,13
1691166467-29,27/03/2023,27/03/2023,30/03/2023,950,950,Chambre Double - Club,,Hôtel Daria-I Nor by Les Etincelles,L'Alpe-d'Huez,,13
1691166467-30,27/03/2023,27/03/2023,30/03/2023,350,350,Chambre Double Standard,,Hotel Le Beau Site,Auris,,13
1691166467-31,27/03/2023,27/03/2023,30/03/2023,387,387,Chambre Double Standard,,Hotel Les Lutins,Les Deux Alpes,,13
1691166467-32,27/03/2023,27/03/2023,30/03/2023,302,302,Chambre Double,,Hotel Le Cairn,Les Deux Alpes,,13
1691166467-33,27/03/2023,27/03/2023,30/03/2023,352,352,Chambre Double ou Lits Jumeaux Standard,,HOTEL TURAN,Les Deux Alpes,,13
1691166467-34,27/03/2023,27/03/2023,30/03/2023,298,298,Chambre Double ou Lits Jumeaux,,The People - Les 2 Alpes,Les Deux Alpes,,13
1691166467-35,27/03/2023,27/03/2023,30/03/2023,686,619,Chambre Double ou Lits Jumeaux Classique,,Hôtel Grandes Rousses,L'Alpe-d'Huez,,13
1691166467-36,27/03/2023,27/03/2023,30/03/2023,378,302,Chambre Lits Jumeaux Standard,,TERRESENS - HOTEL ESCAPADE,L'Alpe-d'Huez,,13
1691166467-51,27/03/2023,27/03/2023,30/03/2023,252,252,Chambre Double ou Lits Jumeaux Confort ,,Hôtel du Musée de l'Eau,Pont-en-Royans,,13
1691166467-52,27/03/2023,27/03/2023,30/03/2023,252,190,Chambre Double - Mansardée,,Auberge des Montauds,Villard-de-Lans,,13
1691166467-53,27/03/2023,27/03/2023,30/03/2023,248,248,Chambre Double,,Auberge De La Croix Perrin,Lans-en-Vercors,,13
1691166467-54,27/03/2023,27/03/2023,30/03/2023,202,202,Chambre Double,,Hotel des Alpes,Die,,13
1691166467-55,27/03/2023,27/03/2023,30/03/2023,335,335,Chambre Triple,,La Ferme du Bois Barbu,Villard-de-Lans,,13
1691166467-56,27/03/2023,27/03/2023,30/03/2023,187,187,Chambre Double,,Le Saint Domingue,Die,,13
1691166467-57,27/03/2023,27/03/2023,30/03/2023,269,269,Chambre Double,,Hotel du Col de l'Arc,Lans-en-Vercors,,13
1691166467-58,27/03/2023,27/03/2023,30/03/2023,285,285,Chambre Double,,Hôtel Restaurant Les Tilleuls,Autrans,,13
