web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
,02/03/2023,09/09/2023,16/09/2023,1254,1254,Chambre Double Standard,,Hotel Du Lac,Montriond,,36
,02/03/2023,09/09/2023,16/09/2023,1809,1809,Chambre Double ou Lits Jumeaux,,Hôtel Restaurant La Ferme de Cupelin,Saint-Gervais-les-Bains,,36
,02/03/2023,09/09/2023,16/09/2023,959,959,Chambre Double Économique,,Boutique Hôtel La Féline Blanche,Saint-Gervais-les-Bains,,36
,02/03/2023,09/09/2023,16/09/2023,722,676,Chambre Double Standard,,"The Originals City, Hôtel du Faucigny, Cluses Ouest",Scionzier,,36
,02/03/2023,09/09/2023,16/09/2023,728,681,Chambre Double Économique,,Le Relais Du Mont Blanc,Magland,,36
,02/03/2023,09/09/2023,16/09/2023,543,508,Chambre Double,,Hotel Edelweiss,Magland,,36
,02/03/2023,09/09/2023,16/09/2023,1041,973,Chambre Double Supérieure,,La Ferme Du Lac,Thyez,,36
,02/03/2023,09/09/2023,16/09/2023,1117,1117,Chambre Double Supérieure avec Douche,,La Croix de Savoie & Spa,Les Carroz d'Arâches,,36
,02/03/2023,09/09/2023,16/09/2023,841,841,Chambre Lits Jumeaux Standard,,Ibis Styles Sallanches Pays du Mont-Blanc,Sallanches,,36
,02/03/2023,09/09/2023,16/09/2023,535,535,Chambre Double Standard,,Ibis Hôtel Sallanches,Sallanches,,36
,02/03/2023,09/09/2023,16/09/2023,3327,3113,Suite Familiale (2 Adultes + 2 Enfants) Tapiaz,,"Chalet-Hôtel La Marmotte, La Tapiaz & SPA, The Originals Relais (Hotel-Chalet de Tradition)",Les Gets,,36
,02/03/2023,09/09/2023,16/09/2023,515,515,Chambre Triple avec Lit Superposé,,Ibis Budget Sallanches,Sallanches,,36
,02/03/2023,09/09/2023,16/09/2023,1795,1795,Chambre Deluxe,,Chamois d'Or Hotel,Les Gets,,36
,02/03/2023,09/09/2023,16/09/2023,1420,1329,Studio Triple (3 adultes),,Loc'Hotel Alpen Sports,Les Gets,,36
,02/03/2023,09/09/2023,16/09/2023,924,924,Chambre Lit King-Size Supérieure ,,Auberge de l'Orangerie - Sure Hotel Collection by Best Western,Sallanches,,36
,02/03/2023,09/09/2023,16/09/2023,1211,1211,Chambre Lits Jumeaux,,Hotel Igloo,Morzine,,36
,02/03/2023,09/09/2023,16/09/2023,894,894,Petite Chambre Lits Jumeaux,,Hotel Rhodos Morzine,Morzine,,36
,02/03/2023,09/09/2023,16/09/2023,761,761,Chambre Double,,Le Charvet,Cordon,,36
,02/03/2023,09/09/2023,16/09/2023,1211,1134,Chambre Double Économique,,Hôtel Névé,Morzine,,36
,02/03/2023,09/09/2023,16/09/2023,594,556,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,36
,02/03/2023,09/09/2023,16/09/2023,761,761,Chambre Lits Jumeaux Économique,,The Nant,Morzine,,36
,02/03/2023,09/09/2023,16/09/2023,1449,1449,Chambre Double Supérieure,,Les Roches Fleuries,Cordon,,36
,02/03/2023,09/09/2023,16/09/2023,762,762,Chambre Double,,Bonne Valette,Morzine,,36
,02/03/2023,09/09/2023,16/09/2023,796,746,Chambre Double,,Auberge Les Gorges De La Diosaz,Servoz,,36
,02/03/2023,09/09/2023,16/09/2023,897,840,Chambre Double Économique,,Chalet Hôtel des 2 Gares,Saint-Gervais-les-Bains,,36
,02/03/2023,09/09/2023,16/09/2023,539,539,Chambre Lits Jumeaux,,Hotel Terminus,Saint-Gervais-les-Bains,,36
,02/03/2023,09/09/2023,16/09/2023,2947,2757,Chalet 3 Chambres,,Hôtel et Chalet Au Coin Du Feu Chilly Powder,Morzine,,36
,02/03/2023,09/09/2023,16/09/2023,1386,1171,Chambre Lits Jumeaux,,Aux Ducs de Savoie,Combloux,,36
,02/03/2023,09/09/2023,16/09/2023,642,642,Chambre Double Supérieure,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,36
,02/03/2023,09/09/2023,16/09/2023,873,873,Chambre Double,,L'Alpage,Le Grand-Bornand,,36
,02/03/2023,09/09/2023,16/09/2023,1254,1254,Chambre Double Standard,,Hotel Du Lac,Montriond,,36
,02/03/2023,09/09/2023,16/09/2023,1809,1809,Chambre Double ou Lits Jumeaux,,Hôtel Restaurant La Ferme de Cupelin,Saint-Gervais-les-Bains,,36
,02/03/2023,09/09/2023,16/09/2023,959,959,Chambre Double Économique,,Boutique Hôtel La Féline Blanche,Saint-Gervais-les-Bains,,36
