web-scraper-order,web-scraper-start-url,paginator,nom,localite,prix_init,prix_actuel,note,typo,type_de_lit,taxes,nuite,experience_vecu,reduction,genius
"1674655076-2767,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Le Chalet Blanc"",""Megäve"",""null"",""?ˇ7 006"",""9,6"",""Suite - Vue sur Montagne"",""Suite privÇe ? 1 chambre ? 1 salon ? 1 salle de bains ? 50m˝"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""39 expÇriences vÇcues"",""null"",""null"""
"1674655076-2768,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Fasthotel Albertville"",""Albertville"",""null"",""?ˇ50"",""7,2"",""Chambre Lits Jumeaux"",""2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""1 343 expÇriences vÇcues"",""null"",""null"""
"1674655076-2769,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Le Roma"",""Albertville"",""null"",""?ˇ81"",""7,7"",""Chambre Double ou Lits Jumeaux Classique"",""Types de litsˇ: 1 lit double ou 2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""1 300 expÇriences vÇcues"",""null"",""null"""
"1674655076-2770,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""ibis budget Albertville"",""Gilly-sur-Isäre"",""null"",""?ˇ65"",""7,2"",""Chambre Triple"",""2 lits (1ˇlit double, 1ˇlit superposÇ)"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""656 expÇriences vÇcues"",""null"",""null"""
"1674655076-2771,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Brit Hotel Florimont"",""Saint-FerrÇol"",""null"",""?ˇ107"",""8,2"",""Chambre Double - Accessible aux Personnes Ö MobilitÇ RÇduite"",""1 grand lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""357 expÇriences vÇcues"",""null"",""null"""
"1674655076-2772,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hìtel de Genäve , Faverges-Seythenex 74210, Haute Savoie"",""Faverges"",""null"",""?ˇ79"",""7,8"",""Chambre Double Standard"",""1 lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""465 expÇriences vÇcues"",""null"",""null"""
"1674655076-2773,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hotel Du Parc - Manoir Du Baron Blanc"",""Faverges"",""null"",""?ˇ112"",""8,7"",""Chambre Double Classique"",""1 grand lit double"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""274 expÇriences vÇcues"",""null"",""null"""
"1674655076-2774,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Carlina"",""La Clusaz"",""null"",""?ˇ331"",""8,1"",""Petite Chambre Double - Sans Vue"",""Types de litsˇ: 1 lit double ou 2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""316 expÇriences vÇcues"",""null"",""null"""
"1674655076-2775,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Chalet Les Rhodos"",""Cordon"",""null"",""?ˇ280"",""8,6"",""Chambre Triple - Aravis"",""2 lits (1ˇlit simple, 1ˇgrand lit double)"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""459 expÇriences vÇcues"",""null"",""null"""
"1674655076-2776,""https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-02-20&checkout=2023-02-21"","""",""Hìtel Restaurant La Tourmaline"",""Aime-La-Plagne"",""null"",""?ˇ152"",""7,7"",""Chambre Lits Jumeaux avec Accäs Spa"",""2 lits simples"",""Taxes et frais compris"",""1 nuit, 2ˇadultes"",""255 expÇriences vÇcues"",""null"",""null"""
