web-scraper-order,web-scraper-start-url,paginator,nom,localite,prix_init,prix_actuel,note,typo,type_de_lit,taxes,nuite,experience_vecu,reduction,genius
"1674728242-907","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Hôtel le Christiania","Arêches","null","€ 595","8,0","Chambre Double ou Lits Jumeaux","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","365 expériences vécues","null","null"
"1674728242-908","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","La Ferme du Chozal, The Originals Relais","Hauteluce","null","€ 1 620","9,2","Chambre sur la Montagne","2 lits (1 lit simple, 1 grand lit double)","Taxes et frais compris","1 semaine, 2 adultes","64 expériences vécues","null","null"
"1674728242-909","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Hôtel Chalet Le Caribou","Les Saisies","null","€ 749","7,9","Chambre Double Standard","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","426 expériences vécues","null","null"
"1674728242-910","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Hôtel Les Ancolies à Arêches","Arêches","null","€ 1 086","8,4","Chambre Double ou Lits Jumeaux","1 grand lit double","Taxes et frais compris","1 semaine, 2 adultes","171 expériences vécues","null","null"
"1674728242-911","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Maison Doron","Beaufort","null","€ 612","7,9","Chambre Double","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","146 expériences vécues","null","null"
"1674728242-912","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Le Calgary","Les Saisies","null","€ 1 668","8,5","Chambre Lits Jumeaux","2 lits simples","Taxes et frais compris","1 semaine, 2 adultes","213 expériences vécues","null","null"
"1674728242-913","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Chalet Hôtel du Mont-Charvin & Spa","Crest-Voland","null","€ 2 152","8,4","Chambre Double","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","165 expériences vécues","null","null"
"1674728242-914","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Le Caprice Des Neiges","Crest-Voland","null","€ 1 722","8,8","Chambre Double","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","363 expériences vécues","null","null"
"1674728242-915","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Chalet Les Pieux","Crest-Voland","null","€ 603","8,4","Chambre Triple – Vue sur Montagne","3 lits simples","Taxes et frais compris","1 semaine, 2 adultes","13 expériences vécues","null","null"
"1674728242-916","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","La Mollinière","Notre-Dame-de-Bellecombe","null","€ 853","7,8","Chambre Quadruple Standard","3 lits (1 lit double, 2 lits superposés)","Taxes et frais compris","1 semaine, 2 adultes","73 expériences vécues","null","null"
"1674728242-917","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Les Chalets de La Griyotire","Praz-sur-Arly","null","€ 1 099","8,6","Appartement Familial (4-6 Adultes)","Appartement privé • 1 chambre • 1 salle de bains • 1 cuisine • 45m²","Taxes et frais compris","1 semaine, 2 adultes","179 expériences vécues","null","null"
"1674728242-918","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Auberge de Costaroche","Albertville","null","€ 593","7,3","Chambre Double","1 grand lit double","Taxes et frais compris","1 semaine, 2 adultes","212 expériences vécues","null","null"
"1674728242-919","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","L'Alpaga, a Beaumier hotel","Megève","null","€ 3 980","8,8","Chambre Double Classique","1 très grand lit double","Taxes et frais compris","1 semaine, 2 adultes","145 expériences vécues","null","null"
"1674728242-920","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Hôtel La Grange d'Arly","Megève","null","€ 1 623","8,9","Chambre Double ou Lits Jumeaux","Types de lits : 1 lit double ou 2 lits simples","Taxes et frais compris","1 semaine, 2 adultes","347 expériences vécues","null","null"
"1674728242-921","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Au Coin Du Feu","Megève","null","€ 1 336","9,0","Chambre Double Standard","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","494 expériences vécues","null","null"
"1674728242-922","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Au Vieux Moulin","Megève","null","€ 1 592","7,7","Chambre Double ou Lits Jumeaux de Charme - Rez-de-Chaussée","Types de lits : 1 lit double ou 2 lits simples","Taxes et frais compris","1 semaine, 2 adultes","230 expériences vécues","null","null"
"1674728242-923","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Coeur de Megève","Megève","null","€ 2 457","8,8","Chambre Double Confort","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","240 expériences vécues","null","null"
"1674728242-924","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-04-03&checkout=2023-04-10","","Grand Hotel Soleil d'Or","Megève","null","€ 4 361","9,3","Chambre Deluxe","1 très grand lit double","Taxes et frais compris","1 semaine, 2 adultes","183 expériences vécues","null","null"
