web-scraper-order,web-scraper-start-url,paginator,nom,localite,prix_init,prix_actuel,note,typo,type_de_lit,taxes,nuite,experience_vecu,reduction,genius
"1674728178-737","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","Hôtel le Christiania","Arêches","null","€ 1 162","8,0","Chambre Quadruple","3 lits (1 lit double, 2 lits superposés)","Taxes et frais compris","1 semaine, 2 adultes","365 expériences vécues","null","null"
"1674728178-738","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","La Ferme du Chozal, The Originals Relais","Hauteluce","null","€ 2 656","9,2","Suite avec Terrasse","Suite privée • 1 chambre • 1 salon • 1 salle de bains • 32m²","Taxes et frais compris","1 semaine, 2 adultes","64 expériences vécues","null","null"
"1674728178-739","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","Hôtel Viallet","Arêches","null","€ 779","8,3","Chambre Double - Vue sur Montagne","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","128 expériences vécues","null","null"
"1674728178-740","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","Hôtel Chalet Le Caribou","Les Saisies","null","€ 1 477","7,9","Chambre comfort familiale","3 lits (1 lit double, 2 lits superposés)","Taxes et frais compris","1 semaine, 2 adultes","426 expériences vécues","null","null"
"1674728178-741","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","Hôtel Les Ancolies à Arêches","Arêches","null","€ 1 156","8,4","Chambre Double ou Lits Jumeaux","1 grand lit double","Taxes et frais compris","1 semaine, 2 adultes","171 expériences vécues","null","null"
"1674728178-742","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","Maison Doron","Beaufort","null","€ 612","7,9","Chambre Double","1 lit double","Taxes et frais compris","1 semaine, 2 adultes","146 expériences vécues","null","null"
"1674728178-743","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","Le Calgary","Les Saisies","null","€ 2 838","8,5","Chambre Lits Jumeaux","2 lits simples","Taxes et frais compris","1 semaine, 2 adultes","213 expériences vécues","null","null"
"1674728178-744","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","Hotel Le Tetras","Notre-Dame-de-Bellecombe","null","€ 793","7,6","Chambre Lits Jumeaux - Vue sur Montagne","2 lits simples","Taxes et frais compris","1 semaine, 2 adultes","172 expériences vécues","null","null"
"1674728178-745","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","Chalet Hôtel du Mont-Charvin & Spa","Crest-Voland","null","€ 2 232","8,4","Chambre Double Supérieure","Plusieurs types de lits","Taxes et frais compris","1 semaine, 2 adultes","165 expériences vécues","null","null"
"1674728178-746","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","Le Caprice Des Neiges","Crest-Voland","null","€ 1 722","8,8","Chambre Lits Jumeaux","2 lits simples","Taxes et frais compris","1 semaine, 2 adultes","363 expériences vécues","null","null"
"1674728178-747","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","Chalet Les Pieux","Crest-Voland","null","€ 806","8,4","Chambre Triple – Vue sur Montagne","3 lits simples","Taxes et frais compris","1 semaine, 2 adultes","13 expériences vécues","null","null"
"1674728178-748","https://www.booking.com/searchresults.fr.html?label=gog235jc-1DCAYoTUIGc2F2b2llSA1YA2hNiAEBmAENuAEXyAEM2AED6AEB-AECiAIBqAIDuAK37uOQBsACAdICJDJjMjgxMmVhLTIyM2MtNDI1Mi1iYTM4LTA3MmE4MjI3MWFkMdgCBOACAQ&sid=086e078aef1832684e5d5671c99a12b1&aid=356980&dest_id=5620&dest_type=region&nflt=ht_id%3D204%3Brpt%3D1&shw_aparth=0&checkin=2023-03-13&checkout=2023-03-20","","La Mollinière","Notre-Dame-de-Bellecombe","null","€ 776","7,8","Chambre Quadruple Standard","3 lits (1 lit double, 2 lits superposés)","Taxes et frais compris","1 semaine, 2 adultes","73 expériences vécues","null","null"
