web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1691070784-1,20/03/2023,25/09/2023,02/10/2023,1099,1099,Appartement Familial (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,39
1691070784-2,20/03/2023,25/09/2023,02/10/2023,3203,3203,Appartement Village,,Flocons de Sel,Megève,,39
1691070784-3,20/03/2023,25/09/2023,02/10/2023,443,443,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,39
1691070784-4,20/03/2023,25/09/2023,02/10/2023,800,800,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,39
1691070784-5,20/03/2023,25/09/2023,02/10/2023,1454,1454,Chambre Double Confort,,Coeur de Megève,Megève,,39
1691070784-6,20/03/2023,25/09/2023,02/10/2023,4036,4036,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,39
1691070784-7,20/03/2023,25/09/2023,02/10/2023,681,681,Chambre Double,,Albert 1er,Albertville,,39
1691070784-8,20/03/2023,25/09/2023,02/10/2023,642,642,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,39
1691070784-9,20/03/2023,25/09/2023,02/10/2023,498,498,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,39
1691070784-10,20/03/2023,25/09/2023,02/10/2023,631,631,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,39
1691070784-11,20/03/2023,25/09/2023,02/10/2023,1182,1182,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,39
1691070784-12,20/03/2023,25/09/2023,02/10/2023,6134,6134,Suite,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,39
1691070784-13,20/03/2023,25/09/2023,02/10/2023,551,551,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,39
1691070784-14,20/03/2023,25/09/2023,02/10/2023,774,774,Petite Chambre Double ou Lits Jumeaux avec Balcon,,Hotel Beauregard,La Clusaz,,39
1691070784-15,20/03/2023,25/09/2023,02/10/2023,451,451,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,39
1691070784-16,20/03/2023,25/09/2023,02/10/2023,613,613,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,39
1691070784-17,20/03/2023,25/09/2023,02/10/2023,528,528,Chambre Double Standard,,Les Airelles,La Clusaz,,39
1691070784-18,20/03/2023,25/09/2023,02/10/2023,1449,1449,Chambre Double Supérieure,,Les Roches Fleuries,Cordon,,39
1691070784-19,20/03/2023,25/09/2023,02/10/2023,564,564,Chambre Double,,Hôtel Les Dômes de Miage,Saint-Gervais-les-Bains,,39
1691070784-20,20/03/2023,25/09/2023,02/10/2023,830,830,Chambre Lits Jumeaux avec Accès Spa,,Hôtel Restaurant La Tourmaline,Aime-La-Plagne,,39
1691070784-21,20/03/2023,25/09/2023,02/10/2023,1037,1037,Chambre Double Économique,,Boutique Hôtel La Féline Blanche,Saint-Gervais-les-Bains,,39
1691070784-22,20/03/2023,25/09/2023,02/10/2023,1624,1624,Petite Chambre Double,,Coeur des Neiges,Saint-Gervais-les-Bains,,39
1691070784-23,20/03/2023,25/09/2023,02/10/2023,761,761,Chambre Double,,Le Charvet,Cordon,,39
1691070784-24,20/03/2023,25/09/2023,02/10/2023,1105,1105,Chambre Double - Versant Nord,,Base Camp Lodge Hotels,Bourg-Saint-Maurice,,39
1691070784-25,20/03/2023,25/09/2023,02/10/2023,683,683,Chambre Double Standard avec Salle de Bains Privative et Toilettes Communes ,,Hôtel La Petite Auberge,Bourg-Saint-Maurice,,39
1691070784-26,20/03/2023,25/09/2023,02/10/2023,1099,1099,Appartement Familial (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,39
1691070784-27,20/03/2023,25/09/2023,02/10/2023,3203,3203,Appartement Village,,Flocons de Sel,Megève,,39
