web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1692631552-1,01/05/2023,15/05/2023,22/05/2023,496,457,Dortoir Mixte ,,Hôtel Maison Doron,Beaufort,,20
1692631552-2,01/05/2023,15/05/2023,22/05/2023,905,905,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,20
1692631552-3,01/05/2023,15/05/2023,22/05/2023,853,853,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,20
1692631552-4,01/05/2023,15/05/2023,22/05/2023,643,593,Chambre Triple,,Auberge de Costaroche,Albertville,,20
1692631552-5,01/05/2023,15/05/2023,22/05/2023,1190,1190,Chambre Double ou Lits Jumeaux Confort ,,Au Coin Du Feu,Megève,,20
1692631552-6,01/05/2023,15/05/2023,22/05/2023,426,426,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,20
1692631552-7,01/05/2023,15/05/2023,22/05/2023,770,770,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,20
1692631552-8,01/05/2023,15/05/2023,22/05/2023,1172,1172,Chambre Lits Jumeaux Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,20
1692631552-9,01/05/2023,15/05/2023,22/05/2023,868,800,Suite - Vue sur Montagne,,Hôtel Flor'Alpes,La Giettaz,,20
1692631552-10,01/05/2023,15/05/2023,22/05/2023,681,627,Chambre Double,,Albert 1er,Albertville,,20
1692631552-11,01/05/2023,15/05/2023,22/05/2023,574,529,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,20
1692631552-12,01/05/2023,15/05/2023,22/05/2023,513,513,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,20
1692631552-13,01/05/2023,15/05/2023,22/05/2023,2352,2164,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,20
1692631552-14,01/05/2023,15/05/2023,22/05/2023,1542,1542,Chambre Supérieure Double ou Twin avec Terrasse et Vue sur le Mont d'Arbois et le Mont-Blanc,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,20
1692631552-15,01/05/2023,15/05/2023,22/05/2023,1366,1164,Chambre Triple Supérieure - 7,,Le Coin Savoyard,Combloux,,20
1692631552-16,01/05/2023,15/05/2023,22/05/2023,670,670,Chambre Double Supérieure,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,20
1692631552-17,01/05/2023,15/05/2023,22/05/2023,3042,2801,Suite Junior (2 Adultes),,Les Chalets-Hôtel de la Croix-Fry,Manigod,,20
1692631552-18,01/05/2023,15/05/2023,22/05/2023,1238,1141,Chambre Double avec Balcon,,Hotel Beauregard,La Clusaz,,20
1692631552-19,01/05/2023,15/05/2023,22/05/2023,789,726,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,20
1692631552-20,01/05/2023,15/05/2023,22/05/2023,678,678,Chambre Triple Standard,,Hotel La Montagne,La Clusaz,,20
1692631552-21,01/05/2023,15/05/2023,22/05/2023,1441,1441,Chambre Double de Luxe - Vue sur Mont-Blanc,,Hôtel Les Roches Fleuries,Cordon,,20
1692631552-22,01/05/2023,15/05/2023,22/05/2023,2185,2185,Suite,,Chalet-Hôtel Inarpa,La Clusaz,,20
1692631552-23,01/05/2023,15/05/2023,22/05/2023,678,624,Chambre Double,,Hotel Val Joly,Saint-Gervais-les-Bains,,20
1692631552-24,01/05/2023,15/05/2023,22/05/2023,810,810,Chambre Lits Jumeaux avec Accès Spa,,Hôtel Restaurant La Tourmaline,Aime-La-Plagne,,20
1692631552-25,01/05/2023,15/05/2023,22/05/2023,2284,2284,Suite Double Junior avec Canapé-Lit Double,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,20
1692631552-26,01/05/2023,15/05/2023,22/05/2023,496,457,Dortoir Mixte ,,Hôtel Maison Doron,Beaufort,,20
1692631552-27,01/05/2023,15/05/2023,22/05/2023,905,905,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,20
1692631552-28,01/05/2023,15/05/2023,22/05/2023,853,853,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,20
1692631552-29,01/05/2023,15/05/2023,22/05/2023,643,593,Chambre Triple,,Auberge de Costaroche,Albertville,,20
1692631552-30,01/05/2023,15/05/2023,22/05/2023,1190,1190,Chambre Double ou Lits Jumeaux Confort ,,Au Coin Du Feu,Megève,,20
1692631552-31,01/05/2023,15/05/2023,22/05/2023,426,426,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,20
1692631552-32,01/05/2023,15/05/2023,22/05/2023,770,770,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,20
1692631552-33,01/05/2023,15/05/2023,22/05/2023,1172,1172,Chambre Lits Jumeaux Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,20
1692631552-34,01/05/2023,15/05/2023,22/05/2023,868,800,Suite - Vue sur Montagne,,Hôtel Flor'Alpes,La Giettaz,,20
1692631552-35,01/05/2023,15/05/2023,22/05/2023,681,627,Chambre Double,,Albert 1er,Albertville,,20
1692631552-36,01/05/2023,15/05/2023,22/05/2023,574,529,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,20
1692631552-37,01/05/2023,15/05/2023,22/05/2023,513,513,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,20
