web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,24/04/2023,09/09/2023,15/09/2023,290,290,2 Pièces pour 4 Personnes,193343,Résidence Le Centre,Champagny-en-Vanoise,,36,80,PRALOGNAN-LA-VANOISE
,24/04/2023,09/09/2023,15/09/2023,410,410,1 Pièce 4 Personnes,624254,Location de Vacances Le Grand-Bornand 292,Le Grand-Bornand,,36,48,LE GRAND-BORNAND
,24/04/2023,09/09/2023,15/09/2023,423,423,Studio pour 4 Personnes,362524,Résidence Cybele 4,Brides-les-Bains,,36,80,PRALOGNAN-LA-VANOISE
,24/04/2023,09/09/2023,15/09/2023,280,258,3 Pièces pour 6 Personnes,568114,Résidence La Combe Iii,Aussois,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,380,380,2 Pièces pour 4 Personnes,269034,Résidence Le Royal,Combloux,,36,29,COMBLOUX
,24/04/2023,09/09/2023,15/09/2023,345,318,3 Pièces pour 6 Personnes,574084,Résidence Bonheur Des Pistes,Val Cenis,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,560,560,3 Pièces pour 6 Personnes,646344,Résidence Les Cimes D'or A,Les Contamines Montjoie,,36,29,COMBLOUX
,24/04/2023,09/09/2023,15/09/2023,252,252,2 Pièces pour 4 Personnes,568924,Résidence Setives,Aussois,,36,223,AUSSOIS
,24/04/2023,09/09/2023,15/09/2023,252,252,2 Pièces pour 4 Personnes,568944,Résidence Setives,Aussois,,36,223,AUSSOIS
,24/04/2023,09/09/2023,15/09/2023,360,360,Studio pour 4 Personnes,205328,Résidence Gros Cailloux Amethyste,Combloux,,36,29,COMBLOUX
,24/04/2023,09/09/2023,15/09/2023,380,380,2 Pièces pour 5 Personnes,205319,Résidence Perle Des Neiges,Combloux,,36,29,COMBLOUX
,24/04/2023,09/09/2023,15/09/2023,992,992,3 Pièces 6 Personnes,417714,Location de Vacances Les Gets 323,Les Gets,,36,55,LES GETS
,24/04/2023,09/09/2023,15/09/2023,231,196,Studio Cabine 4 Personnes - Rez-de-Chaussée,542184,Résidence Vacancéole Appart Vacances Pyrénées 2000,Pyrénées 2000,,36,83,PYRENEES 2000
,24/04/2023,09/09/2023,15/09/2023,205,189,Studio pour 4 Personnes,574374,Résidence Hauts De Val Cenis,Val Cenis,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,410,389,2 Pièces 4 Personnes,663474,Résidence le Martagon,Saint-Gervais Mont-Blanc,,36,25,CHAMONIX
,24/04/2023,09/09/2023,15/09/2023,310,310,Studio pour 4 Personnes,441984,Résidence Les Cristaux Du Bas,Combloux,,36,29,COMBLOUX
,24/04/2023,09/09/2023,15/09/2023,756,756,1 Pièce 4 Personnes,288994,Location de Vacances Les Gets 223,Les Gets,,36,55,LES GETS
,24/04/2023,09/09/2023,15/09/2023,340,340,2 Pièces pour 4 Personnes,563144,Résidence Le Mermy,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,398,398,2 Pièces 4 Personnes,168692,Location de Vacances Pralognan-la-Vanoise 42,Pralognan-la-Vanoise,,36,80,PRALOGNAN-LA-VANOISE
,24/04/2023,09/09/2023,15/09/2023,319,319,3 Pièces pour 6 Personnes,568624,Résidence Genevray,Aussois,,36,223,AUSSOIS
,24/04/2023,09/09/2023,15/09/2023,385,385,Studio pour 4 Personnes,643994,Résidence Clairiere,Valmorel,,36,23,BRIDES LES BAINS
,24/04/2023,09/09/2023,15/09/2023,291,291,2 Pièces pour 5 Personnes,568804,Résidence Village,Aussois,,36,223,AUSSOIS
,24/04/2023,09/09/2023,15/09/2023,225,207,2 Pièces pour 4 Personnes,567744,Résidence La Combe Ii,Aussois,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,345,318,3 Pièces pour 6 Personnes,573864,Résidence Les Essarts,Val Cenis,,36,101,VAL CENIS
,24/04/2023,09/09/2023,15/09/2023,340,340,2 Pièces pour 4 Personnes,563234,Chalets De Barbessine,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,340,340,2 Pièces pour 4 Personnes,563434,Résidence Le Perce-neige,Châtel,,36,28,CHATEL
,24/04/2023,09/09/2023,15/09/2023,599,599,3 Pièces 6 Personnes,168569,Location de Vacances Pralognan-la-Vanoise 20,Pralognan-la-Vanoise,,36,80,PRALOGNAN-LA-VANOISE
,24/04/2023,09/09/2023,15/09/2023,241,241,Studio pour 4 Personnes,554534,Résidence Garlitz Altitude,Le Pla d'Adet,,36,706,LE PLA D'ADET
