web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1692706396-1,08/05/2023,15/05/2023,22/05/2023,496,496,Dortoir Mixte ,,Hôtel Maison Doron,Beaufort,,20
1692706396-2,08/05/2023,15/05/2023,22/05/2023,872,872,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,20
1692706396-3,08/05/2023,15/05/2023,22/05/2023,853,853,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,20
1692706396-4,08/05/2023,15/05/2023,22/05/2023,643,643,Chambre Triple,,Auberge de Costaroche,Albertville,,20
1692706396-5,08/05/2023,15/05/2023,22/05/2023,1190,1190,Chambre Double ou Lits Jumeaux Confort ,,Au Coin Du Feu,Megève,,20
1692706396-6,08/05/2023,15/05/2023,22/05/2023,426,426,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,20
1692706396-7,08/05/2023,15/05/2023,22/05/2023,770,770,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,20
1692706396-8,08/05/2023,15/05/2023,22/05/2023,1362,1362,Chambre Supérieure avec 1 Lit Double et Canapé-Lit - Vue sur Village,,Novotel Megève Mont-Blanc,Megève,,20
1692706396-9,08/05/2023,15/05/2023,22/05/2023,655,655,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,20
1692706396-10,08/05/2023,15/05/2023,22/05/2023,681,681,Chambre Double,,Albert 1er,Albertville,,20
1692706396-11,08/05/2023,15/05/2023,22/05/2023,574,574,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,20
1692706396-12,08/05/2023,15/05/2023,22/05/2023,466,466,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,20
1692706396-13,08/05/2023,15/05/2023,22/05/2023,2861,2632,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,20
1692706396-14,08/05/2023,15/05/2023,22/05/2023,1542,1542,Chambre Supérieure Double ou Twin avec Terrasse et Vue sur le Mont d'Arbois et le Mont-Blanc,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,20
1692706396-15,08/05/2023,15/05/2023,22/05/2023,600,600,Chambre Double Confort,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,20
1692706396-16,08/05/2023,15/05/2023,22/05/2023,3042,3042,Suite Junior (2 Adultes),,Les Chalets-Hôtel de la Croix-Fry,Manigod,,20
1692706396-17,08/05/2023,15/05/2023,22/05/2023,678,678,Chambre Triple Standard,,Hotel La Montagne,La Clusaz,,20
1692706396-18,08/05/2023,15/05/2023,22/05/2023,1238,1141,Chambre Double avec Balcon,,Hotel Beauregard,La Clusaz,,20
1692706396-19,08/05/2023,15/05/2023,22/05/2023,991,912,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,20
