web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1691422624-1,27/03/2023,16/04/2023,17/04/2023,73,73,Chambre Double Standard,,Hôtel Chalet Le Caribou,Les Saisies,,15
1691422624-2,27/03/2023,16/04/2023,17/04/2023,154,154,Chambre Double,,Maison Doron,Beaufort,,15
1691422624-3,27/03/2023,16/04/2023,17/04/2023,605,605,Suite Rochebrune,,Flocons de Sel,Megève,,15
1691422624-4,27/03/2023,16/04/2023,17/04/2023,90,90,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,15
1691422624-5,27/03/2023,16/04/2023,17/04/2023,88,88,Chambre Double,,Auberge de Costaroche,Albertville,,15
1691422624-6,27/03/2023,16/04/2023,17/04/2023,166,166,Chambre Double Supérieure,,Hotel Million,Albertville,,15
1691422624-7,27/03/2023,16/04/2023,17/04/2023,138,138,Chambre Double Standard,,Au Coin Du Feu,Megève,,15
1691422624-8,27/03/2023,16/04/2023,17/04/2023,109,109,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,15
1691422624-9,27/03/2023,16/04/2023,17/04/2023,59,59,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,15
1691422624-10,27/03/2023,16/04/2023,17/04/2023,202,202,Chambre Double Confort,,Coeur de Megève,Megève,,15
1691422624-11,27/03/2023,16/04/2023,17/04/2023,141,141,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,15
1691422624-12,27/03/2023,16/04/2023,17/04/2023,103,103,Chambre Double,,Albert 1er,Albertville,,15
1691422624-13,27/03/2023,16/04/2023,17/04/2023,100,100,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,15
1691422624-14,27/03/2023,16/04/2023,17/04/2023,76,76,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,15
1691422624-15,27/03/2023,16/04/2023,17/04/2023,50,50,Chambre Lits Jumeaux,,Fasthotel Albertville,Albertville,,15
1691422624-16,27/03/2023,16/04/2023,17/04/2023,65,65,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,15
1691422624-17,27/03/2023,16/04/2023,17/04/2023,93,93,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,15
1691422624-18,27/03/2023,16/04/2023,17/04/2023,178,178,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,15
1691422624-19,27/03/2023,16/04/2023,17/04/2023,133,133,Chambre Lits Jumeaux - Vue sur Montagne - 1,,Le Coin Savoyard,Combloux,,15
1691422624-20,27/03/2023,16/04/2023,17/04/2023,86,86,Chambre Double Confort,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,15
1691422624-21,27/03/2023,16/04/2023,17/04/2023,112,112,Chambre Double Classique,,Hotel Du Parc - Manoir Du Baron Blanc,Faverges,,15
1691422624-22,27/03/2023,16/04/2023,17/04/2023,86,86,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,15
1691422624-23,27/03/2023,16/04/2023,17/04/2023,124,124,Petite Chambre Double ou Lits Jumeaux avec Balcon,,Hotel Beauregard,La Clusaz,,15
1691422624-24,27/03/2023,16/04/2023,17/04/2023,48,48,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,15
1691422624-25,27/03/2023,16/04/2023,17/04/2023,95,81,Chambre Double ou Lits Jumeaux,,St-Alban Hotel & Spa,La Clusaz,,15
1691422624-26,27/03/2023,16/04/2023,17/04/2023,73,73,Chambre Double Standard,,Hôtel Chalet Le Caribou,Les Saisies,,15
