web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1690934743-1,20/03/2023,15/05/2023,16/05/2023,154,154,Chambre Double,,Maison Doron,Beaufort,,20
1690934743-2,20/03/2023,15/05/2023,16/05/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,20
1690934743-3,20/03/2023,15/05/2023,16/05/2023,84,84,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,20
1690934743-4,20/03/2023,15/05/2023,16/05/2023,82,82,Chambre Double,,Auberge de Costaroche,Albertville,,20
1690934743-5,20/03/2023,15/05/2023,16/05/2023,59,59,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,20
1690934743-6,20/03/2023,15/05/2023,16/05/2023,109,109,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,20
1690934743-7,20/03/2023,15/05/2023,16/05/2023,141,141,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,20
1690934743-8,20/03/2023,15/05/2023,16/05/2023,138,138,Chambre Double Standard,,Au Coin Du Feu,Megève,,20
1690934743-9,20/03/2023,15/05/2023,16/05/2023,93,93,Chambre Double,,Albert 1er,Albertville,,20
1690934743-10,20/03/2023,15/05/2023,16/05/2023,81,81,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,20
1690934743-11,20/03/2023,15/05/2023,16/05/2023,93,93,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,20
1690934743-12,20/03/2023,15/05/2023,16/05/2023,146,146,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,20
1690934743-13,20/03/2023,15/05/2023,16/05/2023,178,178,Chambre Double Confort,,"Hôtel Restaurant ""Les Sapins"" Wellness & Gourmet",Manigod,,20
1690934743-14,20/03/2023,15/05/2023,16/05/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,20
1690934743-15,20/03/2023,15/05/2023,16/05/2023,133,133,Chambre Double - Vue sur Montagnes - 5,,Le Coin Savoyard,Combloux,,20
1690934743-16,20/03/2023,15/05/2023,16/05/2023,112,112,Chambre Double Classique,,Hotel Du Parc - Manoir Du Baron Blanc,Faverges,,20
1690934743-17,20/03/2023,15/05/2023,16/05/2023,100,100,Petite Chambre Double ou Lits Jumeaux avec Balcon,,Hotel Beauregard,La Clusaz,,20
1690934743-18,20/03/2023,15/05/2023,16/05/2023,63,63,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,20
1690934743-19,20/03/2023,15/05/2023,16/05/2023,68,68,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,20
1690934743-20,20/03/2023,15/05/2023,16/05/2023,88,88,Chambre Double,,Hotel Christiania,La Clusaz,,20
1690934743-21,20/03/2023,15/05/2023,16/05/2023,81,81,Chambre Double,,Hôtel Les Dômes de Miage,Saint-Gervais-les-Bains,,20
1690934743-22,20/03/2023,15/05/2023,16/05/2023,378,378,Suite,,Chalet-Hôtel Inarpa,La Clusaz,,20
1690934743-23,20/03/2023,15/05/2023,16/05/2023,123,123,Chambre Double Économique,,Boutique Hôtel La Féline Blanche,Saint-Gervais-les-Bains,,20
1690934743-24,20/03/2023,15/05/2023,16/05/2023,92,92,Chambre Double Supérieure,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,20
1690934743-25,20/03/2023,15/05/2023,16/05/2023,108,108,Chambre Lits Jumeaux avec Accès Spa,,Hôtel Restaurant La Tourmaline,Aime-La-Plagne,,20
1690934743-26,20/03/2023,15/05/2023,16/05/2023,79,79,Chambre Double Classique,,Hôtel Val d'Este,Saint-Gervais-les-Bains,,20
1690934743-27,20/03/2023,15/05/2023,16/05/2023,109,109,Chambre Double,,Le Charvet,Cordon,,20
1690934743-28,20/03/2023,15/05/2023,16/05/2023,106,106,Chambre Double - Versant Nord,,Base Camp Lodge Hotels,Bourg-Saint-Maurice,,20
1690934743-29,20/03/2023,15/05/2023,16/05/2023,98,98,Chambre Double Standard avec Salle de Bains Privative et Toilettes Communes ,,Hôtel La Petite Auberge,Bourg-Saint-Maurice,,20
1690934743-30,20/03/2023,15/05/2023,16/05/2023,109,109,Chambre Double Économique,,Chalet Hôtel des 2 Gares,Saint-Gervais-les-Bains,,20
1690934743-31,20/03/2023,15/05/2023,16/05/2023,98,98,Chambre Lits Jumeaux,,Hotel Autantic,Bourg-Saint-Maurice,,20
1690934743-32,20/03/2023,15/05/2023,16/05/2023,69,69,Chambre Lits Jumeaux,,Hotel Terminus,Saint-Gervais-les-Bains,,20
1690934743-33,20/03/2023,15/05/2023,16/05/2023,102,102,Chambre Double,,Hotel Du Commerce,Thônes,,20
1690934743-34,20/03/2023,15/05/2023,16/05/2023,87,87,Chambre Double,,Fasthotel Thones,Thônes,,20
1690934743-35,20/03/2023,15/05/2023,16/05/2023,98,98,Chambre Lit Queen-Size Standard - Non-Fumeurs,,Auberge de l'Orangerie - Sure Hotel Collection by Best Western,Sallanches,,20
1690934743-36,20/03/2023,15/05/2023,16/05/2023,154,154,Chambre Double,,Maison Doron,Beaufort,,20
1690934743-37,20/03/2023,15/05/2023,16/05/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,20
1690934743-38,20/03/2023,15/05/2023,16/05/2023,84,84,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,20
1690934743-39,20/03/2023,15/05/2023,16/05/2023,82,82,Chambre Double,,Auberge de Costaroche,Albertville,,20
1690934743-40,20/03/2023,15/05/2023,16/05/2023,59,59,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,20
1690934743-41,20/03/2023,15/05/2023,16/05/2023,109,109,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,20
1690934743-42,20/03/2023,15/05/2023,16/05/2023,141,141,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,20
1690934743-43,20/03/2023,15/05/2023,16/05/2023,138,138,Chambre Double Standard,,Au Coin Du Feu,Megève,,20
1690934743-44,20/03/2023,15/05/2023,16/05/2023,93,93,Chambre Double,,Albert 1er,Albertville,,20
1690934743-45,20/03/2023,15/05/2023,16/05/2023,81,81,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,20
1690934743-46,20/03/2023,15/05/2023,16/05/2023,93,93,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,20
1690934743-47,20/03/2023,15/05/2023,16/05/2023,146,146,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,20
1690934743-48,20/03/2023,15/05/2023,16/05/2023,178,178,Chambre Double Confort,,"Hôtel Restaurant ""Les Sapins"" Wellness & Gourmet",Manigod,,20
1690934743-49,20/03/2023,15/05/2023,16/05/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,20
1690934743-50,20/03/2023,15/05/2023,16/05/2023,133,133,Chambre Double - Vue sur Montagnes - 5,,Le Coin Savoyard,Combloux,,20
