web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1692026720-1,17/04/2023,17/04/2023,18/04/2023,215,215,Appartement (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,16
1692026720-2,17/04/2023,17/04/2023,18/04/2023,90,90,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,16
1692026720-3,17/04/2023,17/04/2023,18/04/2023,88,88,Chambre Double,,Auberge de Costaroche,Albertville,,16
1692026720-4,17/04/2023,17/04/2023,18/04/2023,166,166,Chambre Double Supérieure,,Hotel Million,Albertville,,16
1692026720-5,17/04/2023,17/04/2023,18/04/2023,61,61,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,16
1692026720-6,17/04/2023,17/04/2023,18/04/2023,109,109,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,16
1692026720-7,17/04/2023,17/04/2023,18/04/2023,161,161,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,16
1692026720-8,17/04/2023,17/04/2023,18/04/2023,138,138,Chambre Double Standard,,Au Coin Du Feu,Megève,,16
1692026720-9,17/04/2023,17/04/2023,18/04/2023,100,100,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,16
1692026720-10,17/04/2023,17/04/2023,18/04/2023,224,224,Chambre Double Confort,,Coeur de Megève,Megève,,16
1692026720-11,17/04/2023,17/04/2023,18/04/2023,93,93,Chambre Double,,Albert 1er,Albertville,,16
1692026720-12,17/04/2023,17/04/2023,18/04/2023,90,90,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,16
1692026720-13,17/04/2023,17/04/2023,18/04/2023,50,50,Chambre Lits Jumeaux,,Fasthotel Albertville,Albertville,,16
1692026720-14,17/04/2023,17/04/2023,18/04/2023,73,73,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,16
1692026720-15,17/04/2023,17/04/2023,18/04/2023,336,336,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,16
1692026720-16,17/04/2023,17/04/2023,18/04/2023,120,120,Chambre Double Standard,,Brit Hotel Florimont,Saint-Ferréol,,16
1692026720-17,17/04/2023,17/04/2023,18/04/2023,252,252,Chambre Supérieure Double ou Twin avec Terrasse et Vue sur le Mont d'Arbois et le Mont-Blanc,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,16
1692026720-18,17/04/2023,17/04/2023,18/04/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,16
1692026720-19,17/04/2023,17/04/2023,18/04/2023,112,112,Chambre Double Classique,,Hotel Du Parc - Manoir Du Baron Blanc,Faverges,,16
1692026720-20,17/04/2023,17/04/2023,18/04/2023,66,66,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,16
1692026720-21,17/04/2023,17/04/2023,18/04/2023,95,81,Chambre Double ou Lits Jumeaux,,St-Alban Hotel & Spa,La Clusaz,,16
1692026720-22,17/04/2023,17/04/2023,18/04/2023,124,124,Petite Chambre Double ou Lits Jumeaux avec Balcon,,Hotel Beauregard,La Clusaz,,16
1692026720-23,17/04/2023,17/04/2023,18/04/2023,77,77,Chambre Double - Aravis,,Chalet Les Rhodos,Cordon,,16
1692026720-24,17/04/2023,17/04/2023,18/04/2023,105,105,Chambre Double Économique,,Alp'Hotel,La Clusaz,,16
1692026720-25,17/04/2023,17/04/2023,18/04/2023,88,88,Chambre Double Économique,,Hotel Christiania,La Clusaz,,16
1692026720-26,17/04/2023,17/04/2023,18/04/2023,215,215,Appartement (4-6 Adultes),,Les Chalets de La Griyotire,Praz-sur-Arly,,16
1692026720-27,17/04/2023,17/04/2023,18/04/2023,90,90,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,16
1692026720-28,17/04/2023,17/04/2023,18/04/2023,88,88,Chambre Double,,Auberge de Costaroche,Albertville,,16
1692026720-29,17/04/2023,17/04/2023,18/04/2023,166,166,Chambre Double Supérieure,,Hotel Million,Albertville,,16
1692026720-30,17/04/2023,17/04/2023,18/04/2023,61,61,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,16
1692026720-31,17/04/2023,17/04/2023,18/04/2023,109,109,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,16
1692026720-32,17/04/2023,17/04/2023,18/04/2023,161,161,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,16
1692026720-33,17/04/2023,17/04/2023,18/04/2023,138,138,Chambre Double Standard,,Au Coin Du Feu,Megève,,16
1692026720-34,17/04/2023,17/04/2023,18/04/2023,100,100,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,16
1692026720-35,17/04/2023,17/04/2023,18/04/2023,224,224,Chambre Double Confort,,Coeur de Megève,Megève,,16
1692026720-36,17/04/2023,17/04/2023,18/04/2023,93,93,Chambre Double,,Albert 1er,Albertville,,16
1692026720-37,17/04/2023,17/04/2023,18/04/2023,90,90,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,16
1692026720-38,17/04/2023,17/04/2023,18/04/2023,50,50,Chambre Lits Jumeaux,,Fasthotel Albertville,Albertville,,16
1692026720-39,17/04/2023,17/04/2023,18/04/2023,73,73,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,16
1692026720-40,17/04/2023,17/04/2023,18/04/2023,336,336,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,16
1692026720-41,17/04/2023,17/04/2023,18/04/2023,120,120,Chambre Double Standard,,Brit Hotel Florimont,Saint-Ferréol,,16
