web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines 
1691209603-979,27/03/2023,24/04/2023,01/05/2023,522,522,Chambre Triple,,ibis budget Bayonne,Bayonne,,17
1691209603-980,27/03/2023,24/04/2023,01/05/2023,588,588,Chambre Triple Confort avec Douche,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,17
1691209603-981,27/03/2023,24/04/2023,01/05/2023,693,693,Appartement 1 Chambre,,Hotel Alaïa,Ascain,,17
1691209603-982,27/03/2023,24/04/2023,01/05/2023,519,519,Chambre Double,,Hôtel Lastiry,Sare,,17
1691209603-983,27/03/2023,24/04/2023,01/05/2023,534,534,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,17
1691209603-984,27/03/2023,24/04/2023,01/05/2023,664,664,Chambre Double avec Terrasse,,Logis Hôtel Baratxartea,Sare,,17
1691209603-985,27/03/2023,24/04/2023,01/05/2023,553,553,Chambre Double Standard,,Hôtel de la Rhune,Ascain,,17
1691209603-986,27/03/2023,24/04/2023,01/05/2023,809,809,Chambre Double,,Hotel Balea,Guéthary,,17
1691209603-987,27/03/2023,24/04/2023,01/05/2023,452,452,Chambre Lits Jumeaux Standard,,Hotel LES GENETS - Restaurant ATEA,Bayonne,,17
1691209603-988,27/03/2023,24/04/2023,01/05/2023,655,655,Chambre Confort ,,Domaine Agerria,Mauléon-Licharre,,17
1691209603-989,27/03/2023,24/04/2023,01/05/2023,566,566,Chambre Double Confort,,Hôtel du Parc,Salies-de-Béarn,,17
1691209603-990,27/03/2023,24/04/2023,01/05/2023,559,559,Chambre Double - Vue sur Jardin,,Hôtel du Pont,Ascain,,17
1691209603-991,27/03/2023,24/04/2023,01/05/2023,1502,1502,Chambre Double avec Balcon et Accès au Spa,,Hotel & Spa 4* Serge Blanco,Hendaye,,17
1691209603-992,27/03/2023,24/04/2023,01/05/2023,682,682,Chambre Double avec Baignoire,,Hotel Restaurant Santiago,Hendaye,,17
1691209603-993,27/03/2023,24/04/2023,01/05/2023,453,453,Chambre Pop avec 1 Lit Double,,Greet Hôtel Orthez Bearn,Orthez,,17
1691209603-994,27/03/2023,24/04/2023,01/05/2023,644,613,Chambre Double Standard,,Hotel Cote Basque,Bayonne,,17
1691209603-995,27/03/2023,24/04/2023,01/05/2023,317,317,Chambre Double,,Hôtel Eco Relais - Pau Nord,Lons,,17
1691209603-996,27/03/2023,24/04/2023,01/05/2023,704,704,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Hôtel Chilhar,Espelette,,17
1691209603-997,27/03/2023,24/04/2023,01/05/2023,652,652,Chambre Lit Queen-Size Confort - Non-Fumeurs,,Best Western Hotel & SPA Pau Lescar Aeroport ex hôtel Vamcel,Lescar,,17
1691209603-998,27/03/2023,24/04/2023,01/05/2023,518,518,Chambre Double,,Campanile Saint Jean de Luz,Saint-Jean-de-Luz,,17
1691209603-999,27/03/2023,24/04/2023,01/05/2023,1122,1122,Chambre Double - Vue sur Piscine,,Villa la Renaissance,Bayonne,,17
1691209603-1000,27/03/2023,24/04/2023,01/05/2023,423,423,Chambre Double,,B&B HOTEL Pau Lescar,Lescar,,17
1691209603-1001,27/03/2023,24/04/2023,01/05/2023,564,564,Chambre Double Économique,,Hôtel d'Ossau,Laruns,,17
1691209603-1002,27/03/2023,24/04/2023,01/05/2023,509,509,Chambre Double,,B&B HOTEL Saint Jean de Luz,Saint-Jean-de-Luz,,17
1691209603-1003,27/03/2023,24/04/2023,01/05/2023,332,332,Chambre Double avec Lit Queen-Size,,ibis budget Pau Lescar,Lescar,,17
1691209603-1004,27/03/2023,24/04/2023,01/05/2023,522,522,Chambre Triple,,ibis budget Bayonne,Bayonne,,17
1691209603-1005,27/03/2023,24/04/2023,01/05/2023,588,588,Chambre Triple Confort avec Douche,,Le Central Hôtel-Bar,Oloron-Sainte-Marie,,17
1691209603-1006,27/03/2023,24/04/2023,01/05/2023,693,693,Appartement 1 Chambre,,Hotel Alaïa,Ascain,,17
1691209603-1007,27/03/2023,24/04/2023,01/05/2023,519,519,Chambre Double,,Hôtel Lastiry,Sare,,17
1691209603-1008,27/03/2023,24/04/2023,01/05/2023,534,534,Chambre Double,,Kyriad Anglet - Biarritz,Anglet,,17
